Month,Media,UV,PercentReach
April2017,SKYMETWEATHER.COM,198.1623727,0.334072012889349
April2017,THEWIRE.IN,195.9903654,0.330410334636132
April2017,NEWSTREND.NEWS,187.4980634,0.316093588300544
April2017,YOUTHKIAWAAZ.COM,176.8284066,0.298106148629488
April2017,Fox News Digital Network,175.136689826,0.295254168103475
April2017,FREEPRESSJOURNAL.IN,174.771517181,0.29463854184252
April2017,NEWS Corp Australia Sites,172.804374073,0.291322233863478
April2017,AP2TG.COM,170.0313776,0.286647378083099
April2017,USNews,169.478193903,0.285714793412072
April2017,TELEGRAPHINDIA.COM,167.1967718,0.281868658225988
April2017,THELOGICALINDIAN.COM,165.8470197,0.279593178805728
April2017,ADVOCATEKHOJ.COM,163.9669797,0.276423713591142
April2017,OUTLOOKINDIA.COM,162.3539455,0.273704380073325
April2017,MYCITY4KIDS.COM,161.976617692,0.273068262032245
April2017,FOXNEWS.COM,159.673503911,0.269185557933335
April2017,PrabhatKhabar,159.247156308,0.268466799876576
April2017,The Economist Group,158.154250299,0.266624324408853
April2017,VANKAYA.COM,157.4012938,0.265354952782889
April2017,DINAMANI.COM,152.826877625,0.257643173808132
April2017,VCCIRCLE.COM,143.097947446,0.2412416580013
April2017,Graham Holdings,141.327132427,0.238256329708185
April2017,V6NEWS.TV,140.5074508,0.23687446953297
April2017,MISSTRAL.COM,137.4737535,0.231760111293819
April2017,NARENDRAMODI.IN,136.9836633,0.230933892787346
April2017,Postmedia Network Canada Corp.,134.918557198,0.227452433906301
April2017,DIFFERENCEBETWEEN.NET,134.7528357,0.227173052338239
April2017,DIFFERENCEBETWEEN.COM,132.5426114,0.223446945960033
April2017,POSTCARD.NEWS,129.0407884,0.21754339806417
April2017,SANDESH.COM,128.618582453,0.216831622217695
April2017,ESAKAL.COM,126.538316858,0.213324606707145
April2017,MINDS.COM,125.5700491,0.211692252620325
April2017,VOX.COM,118.315949494,0.199462929646154
April2017,CHAIBISKET.COM,115.695165,0.195044680412808
April2017,Digital First Media,112.563573908,0.189765287935839
April2017,Australian Broadcasting Corp.,110.7639714,0.186731428257753
April2017,VISHVATIMES.COM,106.5346716,0.179601463683513
April2017,NPR,105.337349404,0.177582958199122
April2017,RARE.US,104.731671657,0.176561876440029
April2017,INDIATIMES.IN,104.3249105,0.175876138190972
April2017,Aljazeera Media Network,104.198017,0.175662214798807
April2017,ALJAZEERA.COM,101.3102773,0.170793919162581
April2017,REPORTERLIVE.COM,100.679942458,0.16973126924276
April2017,MANGALAM.COM,98.6058939,0.166234734723312
April2017,FORBESINDIA.COM,97.272206211,0.163986337488462
April2017,MYNETA.INFO,96.9129465,0.163380679546601
April2017,THEFAMOUSPEOPLE.COM,94.867925,0.159933080289494
April2017,SILICONINDIA.COM,94.089830524,0.158621329807939
April2017,DAILYPIONEER.COM,93.8639751,0.158240571467747
April2017,ALLEVENTS.IN,93.769985,0.158082118268632
April2017,Nikkei,93.738696021,0.158029369747036
April2017,MENTALFLOSS.COM,93.310540788,0.157307564297452
April2017,NEWSNATION.IN,92.7514273,0.156364982888959
April2017,PRESSREADER.COM,91.6806676,0.15455984277368
April2017,Community Newspaper Holdings Inc.,89.6757471,0.151179847782743
April2017,INDIAPRESS.ORG,89.38267,0.150685763787912
April2017,NS7.TV,89.1189678,0.150241201464818
April2017,SWARAJYAMAG.COM,88.571208,0.149317760669916
April2017,NYPost Network,88.523232537,0.149236881241216
April2017,Adweek,87.891476668,0.148171835683193
April2017,Lee Enterprises Incorporated,87.163886937,0.146945228620101
April2017,ELITEDAILY.COM,86.921706118,0.146536948114654
April2017,SAFEORDANGEROUS.COM,85.2078805,0.143647695396565
April2017,Glacier Media Group,83.975685506,0.141570399609735
April2017,WLIVENEWS.COM,83.9164361,0.141470514005545
April2017,SUNNEWSLIVE.IN,83.8977056,0.141438937194306
April2017,ASIANAGE.COM,83.613997711,0.140960648282746
April2017,RTIINDIA.ORG,83.5890777,0.14091863688511
April2017,DAILYSTAR.CO.UK,81.889603196,0.138053577990882
April2017,FIRKEE.IN,81.845236443,0.137978782305515
April2017,Tegna,81.713139105,0.137756086023665
April2017,RECKONTALK.COM,81.6516925,0.137652496271797
April2017,Russia Today,81.227703609,0.136937714649387
April2017,TELUGUSTOP.COM,78.3965926,0.132164886485275
April2017,INDIAWATERPORTAL.ORG,78.2534446,0.131923560446181
April2017,GREATERKASHMIR.COM,75.6673101,0.127563725901176
April2017,BLASTINGNEWS.COM,74.83723921,0.126164350988145
April2017,New York Media,74.367248787,0.125372017688382
April2017,INDIANMIRROR.COM,73.6567793,0.124174272786639
April2017,NEWSROOMPOST.COM,73.225102624,0.123446530712785
April2017,RAJASTHANPATRIKA.COM,73.1526098,0.123324318693905
April2017,TAMILDAILYCALENDAR.COM,72.7231857,0.122600374125036
April2017,LIPSUM.COM,72.4215485,0.12209185908662
April2017,BUZZLE.COM,72.3147899,0.121911880113269
April2017,NYPOST.COM,72.066074289,0.121492582929492
April2017,GUJARATSAMACHAR.COM,71.8406004,0.121112467800035
April2017,DW - Deutsche Welle,71.819545684,0.121076972709524
April2017,DAIJIWORLD.COM,71.5460984,0.120615981637706
April2017,UPDATEBRO.COM,71.5271013,0.120583955378888
April2017,Sun-Times Media / CRWN ( Chicago Region-Wide Network ),70.616178256,0.119048275871472
April2017,TECHFACTSLIVE.COM,70.1119633,0.118198245146744
April2017,New Yorker,69.516993118,0.117195214734857
April2017,NEWYORKER.COM,69.516993118,0.117195214734857
April2017,GULFNEWS.COM,69.471814,0.117119049524049
April2017,Raycom Media Sites,69.050472607,0.116408731185834
April2017,LEGALLYINDIA.COM,69.0019856,0.116326989370742
April2017,Rogers Digital Media Publishing,68.474564584,0.115437836712472
April2017,Ogden Newspapers Inc.,68.095599000000007,0.114798957626913
April2017,NEWS24ONLINE.COM,67.7666451,0.11424439073299
April2017,LIVEINDIA.LIVE,67.44466,0.113701572189733
April2017,THESTATESMAN.COM,66.470821643,0.112059826909238
April2017,TRIBUNE.COM.PK,66.0906195,0.111418863170834
April2017,KHALEEJTIMES.COM,66.0189215,0.111297991105901
April2017,Torstar Digital,65.757919809,0.11085798143559
April2017,KANNADAPRABHA.COM,65.3638604,0.110193656426917
April2017,PRAVASISHABDAM.COM,65.3025863,0.110090357492583
April2017,CORPORATELAWREPORTER.COM,64.8169209,0.109271598534673
April2017,GateHouse Digital,64.285142537,0.108375100043472
April2017,SPH Digital News,63.901895391,0.107729002887116
April2017,DECCANREPORT.COM,63.6481957,0.107301303292652
April2017,CBC-Radio Canada Sites,63.331295391,0.106767056943709
April2017,DDBHARTI.IN,63.1330279,0.106432807717145
April2017,PUBLICTV.IN,63.0607157,0.106310900203215
April2017,SUMANASA.COM,62.8046388,0.10587919299123601
April2017,Tribune Media,62.577233125,0.105495821160577
April2017,EPW.IN,62.418505,0.10522822936957
April2017,MediaCorp Network,62.40590388,0.105206985772889
April2017,KOLKATA24X7.COM,61.9394468,0.10442060915901
April2017,KIRANNEWSAGENCY.COM,61.8323062,0.104239986191004
April2017,Sinclair Broadcast Group,61.407677029,0.103524125152631
April2017,Nexstar Broadcast,60.269263755,0.101604931267519
April2017,SOUTHLIVE.IN,58.8646726,0.0992370014327876
April2017,Mic,58.461889021,0.0985579687831382
April2017,Boston Globe Media Sites,57.76230656,0.0973785777729075
April2017,NYDAILYNEWS.COM,57.632539133,0.0971598093712443
April2017,DOWNTOEARTH.ORG.IN,57.540125,0.0970040130159117
April2017,BARANDBENCH.COM,56.9132293,0.0959471609732298
April2017,UDAYAVANI.COM,56.6219913,0.0954561774249194
April2017,SANGBADPRATIDIN.IN,55.8438697,0.0941443812163716
April2017,CTV,55.711947185,0.0939219796598552
April2017,DEEPIKA.COM,55.3288467,0.0932761297519284
April2017,EASTCOASTDAILY.COM,54.59847,0.0920448242774735
April2017,STUFF.CO.NZ,53.268909521,0.0898033848991205
April2017,INDIAEVERYDAY.COM,53.1201415,0.0895525843482799
April2017,Quebecor Media,52.614670649,0.0887004363731136
April2017,NEWSHUNT.COM,52.5996623,0.0886751345497035
April2017,MERINEWS.COM,52.452484502,0.0884270148761219
April2017,DEKHNEWS.COM,52.3833904,0.088310532592329
April2017,DAILYINDIANHERALD.COM,51.370755,0.0866033813214207
April2017,INFOISINFO.CO.IN,50.963406,0.0859166520573112
April2017,AKSHAYAPATRA.ORG,50.6658625,0.0854150383825616
April2017,Independent News & Media,50.596125301,0.0852974719337663
April2017,SMH.COM.AU,50.46026591,0.0850684333953046
April2017,WASHINGTONTIMES.COM,50.323986225,0.0848386863042522
April2017,DAINIKBHASKAR.COM,49.7030992,0.0837919639856178
April2017,SATTRUMUN.COM,48.6931323,0.0820893114051231
April2017,ULTRASURFING.COM,47.3548544,0.0798331757635946
April2017,GRAHAKSEVA.COM,47.2868076,0.0797184590737561
April2017,TELUGUMIRCHI.COM,47.2734485,0.0796959376365802
April2017,INDIASAMVAD.CO.IN,46.8974315,0.079062029421014
April2017,CARAVANALIVE.COM,46.4196504,0.0782565622093395
April2017,JANTAKAREPORTER.COM,46.1952158,0.0778781991651226
April2017,DEFENCENEWS.IN,46.1256635,0.0777609444282848
April2017,VALAITAMIL.COM,45.9378361,0.0774442956279156
April2017,OPINDIA.COM,45.6301215,0.0769255350054181
April2017,TOLIVELUGU.COM,45.2807216,0.0763364992247805
April2017,INDIATRENDINGNOW.COM,45.2413487,0.0762701224259106
April2017,The Star Online,45.175862381,0.0761597223226672
April2017,CHRONICLE.COM,44.790248,0.0755096343634622
April2017,NEWSEPAPERS.COM,44.7735,0.0754813997496168
April2017,LIVEDAY.IN,44.685892,0.0753337058130413
April2017,TEKNOBT.COM,44.6824993,0.0753279862301423
April2017,ANDHRAWISHESH.COM,44.6194933,0.0752217675723955
April2017,Russia Beyond The Headlines,44.4303864,0.0749029617271006
April2017,THEDAILYBEAST.COM,44.362312655,0.074788199612037
April2017,GETVIDEOCONVERT.COM,44.0203426,0.0742116894347256
April2017,INDIARETAILING.COM,43.9935587,0.0741665358000365
April2017,MADHYAMAM.COM,43.833797738,0.073897202800894
April2017,CITIZENMATTERS.IN,43.8076142,0.0738530612864125
April2017,NEWSFAST.IN,43.509943952,0.0733512339335619
April2017,KONYADAGUNDEM.COM,43.505894,0.0733444063224554
April2017,MARINEINSIGHT.COM,42.8298855,0.0722047574716253
April2017,WEATHERFORECASTALERTS.COM,42.4680319,0.0715947266222962
April2017,MALAYALIVARTHA.COM,42.456184,0.0715747528414639
April2017,DHARUVU.COM,41.7391435,0.0703659301982226
April2017,CAMPAIGNINDIA.IN,41.63992,0.0701986542723277
April2017,BARTAMANPATRIKA.COM,41.5519251,0.0700503080804323
April2017,ABC Local,41.445197624,0.0698703815774736
April2017,RAJIVDIXITJI.COM,41.4187122,0.0698257311285142
April2017,Ad Progress Network,41.354209,0.0697169884163222
April2017,NEWSWEEK.COM,40.861173156,0.0688858039962556
April2017,TKBSEN.IN,40.4423612,0.0681797499091113
April2017,INSPIREMORE.COM,40.230180004,0.0678220442645977
April2017,NEWSLAUNDRY.COM,40.1677825,0.0677168514397615
April2017,INDIATODAY.IN,39.722156472,0.0669655928524654
April2017,E-PAPERVIEW.COM,39.5581323,0.066689072721242
April2017,APMESSENGER.COM,39.391337300000004,0.0664078813899582
April2017,NEWSTIG.COM,39.1983035,0.0660824553807566
April2017,LARAZONSANLUIS.COM,39.1552714,0.0660099097199937
April2017,SAMBADEPAPER.COM,39.0006408,0.0657492257410302
April2017,ALLINDIABLOG.ORG,38.9296348,0.0656295202842171
April2017,UNIINDIA.COM,38.680601855,0.0652096881229528
April2017,ANINEWS.IN,38.6790809,0.0652071240211435
April2017,Globe And Mail,38.459701141,0.0648372826800365
April2017,GEOURDU.COM,38.0205792,0.0640969890070503
April2017,SCMP.COM,37.94622328,0.0639716360879962
April2017,PTINEWS.COM,37.7295033,0.0636062787350059
April2017,ANDHRAHEADLINES.COM,37.6345362,0.0634461784605542
April2017,ARABNEWS.COM,37.2625604,0.0628190831015364
April2017,TELUGU360.COM,37.1350407,0.0626041040301739
April2017,Flipboard,37.1138812,0.0625684322895683
April2017,DAILYEXCELSIOR.COM,36.9938706,0.0623661124335644
April2017,THENATIONAL.AE,36.7967847,0.0620338551920508
April2017,TAMILVOICE.COM,36.6110523,0.061720738247187
April2017,E-PAPERVIEW.NET,36.0094172,0.0607064717840671
April2017,Deseret Digital Media,35.898134956,0.0605188666260071
April2017,EPAPERVIJAYAVANI.IN,35.8598102,0.0604542568405773
April2017,PROJECTSTODAY.COM,35.7119705,0.0602050212995862
April2017,IJSER.ORG,35.6809148,0.0601526660513656
April2017,THINKINGHUMANITY.COM,35.3959635,0.0596722809355165
April2017,SALON.COM,35.294836782,0.0595017964697784
April2017,Voice Of America,35.285291687,0.0594857048724866
April2017,MANCHESTEREVENINGNEWS.CO.UK,35.25464614,0.0594340410806532
April2017,MYPETROLPRICE.COM,35.2506254,0.0594272627165934
April2017,NYOOOZ.COM,34.2061843,0.0576664918100521
April2017,DEZEEN.COM,33.9898098,0.0573017168844795
April2017,ODISHATV.IN,33.9620908,0.0572549868115645
April2017,SUCCESS.COM,33.945582441,0.057227156196471
April2017,ISIXSIGMA.COM,33.9356507,0.0572104127720653
April2017,DOOLNEWS.COM,33.7669807,0.0569260604722502
April2017,THEREPORTERTIMES.COM,33.6872788,0.056791695033437
April2017,KHASKHABAR.COM,33.5888616,0.056625778408303
April2017,IRISHTIMES.COM,33.557748851,0.0565733269840324
April2017,TELUGUGLOBAL.IN,33.0517675,0.0557203183825007
April2017,THEAUSTRALIAN.COM.AU,32.815362635,0.0553217752684305
April2017,TRUEACTIVIST.COM,32.5951402,0.0549505133020873
April2017,TAXINDIAONLINE.COM,32.457809368,0.0547189941349876
April2017,WEATHER.GOV,32.3847573,0.0545958393146755
April2017,THENEWS.COM.PK,32.3581694,0.0545510161065635
April2017,DRUGSUPDATE.COM,32.3135705,0.0544758290562035
April2017,E.W. Scripps Television Station Group,32.213917268,0.0543078286666665
April2017,NewsNow Publishing,31.976439,0.0539074759562741
April2017,PUDHARI.COM,31.8251244,0.0536523822555236
April2017,DAILYDOT.COM,31.667141791,0.0533860472925786
April2017,CROWDYNEWS.COM,31.3501624,0.052851667623255
April2017,Sputnik Sites,31.306395249,0.0527778827768496
April2017,DESHGUJARAT.COM,31.2837056,0.052739631434731
April2017,KERALAKAUMUDI.COM,30.9693097,0.0522096071434082
April2017,POETSANDQUANTS.COM,30.881296,0.052061229257535
April2017,UNFCCC.INT,30.8621354,0.0520289273622612
April2017,KNOWYOURTIN.COM,30.6390153,0.0516527803677159
April2017,BIGNEWSLIVE.COM,30.5388502,0.0514839170455709
April2017,NETIAP.COM,30.408461,0.0512641004279682
April2017,WIRALLY.COM,30.3993148,0.0512486813077656
April2017,BA-BAMAIL.COM,30.2939887,0.0510711173143729
April2017,MEDIAONETV.IN,30.0892025,0.0507258785230029
April2017,NEWSX.COM,30.046529,0.0506539374080082
April2017,DESHABHIMANI.COM,29.5663708,0.049844462762576
April2017,AJITJALANDHAR.COM,29.5487277,0.0498147191445001
April2017,NATION.COM.PK,29.5163972,0.0497602147748483
April2017,TOP10WALA.IN,29.4007653,0.0495652767497284
April2017,BHADAS4MEDIA.COM,29.0981782,0.0490551603225074
April2017,THEHILL.COM,28.901156885,0.0487230119616084
April2017,HOLIDAY-WEATHER.COM,28.5457138,0.0481237882782439
April2017,DIVYAHIMACHAL.COM,28.490562199,0.0480308109581346
April2017,The Local Europe,28.1559435,0.0474666940634779
April2017,Foreca,28.1222148,0.0474098325385192
April2017,LAWZONLINE.COM,27.9023666,0.0470392014762071
April2017,ANDHRANEWS.NET,27.7635095,0.0468051092503777
April2017,Zealot Networks,27.723767341,0.0467381099362657
April2017,EVONEWS.COM,27.6960644,0.046691406936414
April2017,WEATHER-FORECAST.COM,27.6577563,0.0466268252304998
April2017,Bloomberg.com - View,27.591765202,0.0465155741456381
April2017,PROCON.ORG,27.5870633,0.0465076474447002
April2017,Meteored Sites,27.2692673,0.0459718910951892
April2017,Johnston Press Plc,27.252933014,0.0459443539410424
April2017,Render Media,26.979524713,0.0454834285887103
April2017,COLLECTIVE-EVOLUTION.COM,26.9725069,0.0454715976094832
April2017,THEDIPLOMAT.COM,26.7014726,0.0450146744664599
April2017,YR.NO,26.6996838,0.0450116588181886
April2017,College Publisher Network,26.686541,0.0449895020303425
April2017,KOODAL.COM,26.514535337,0.0446995263034482
April2017,KENFOLIOS.COM,26.4790277,0.0446396657577558
April2017,Times Online,26.225642972,0.0442124971436288
April2017,Politico,25.750693654,0.0434118038913084
April2017,APLUS.COM,25.686073795,0.0433028645095548
April2017,ABP.IN,25.5895673,0.0431401690462221
April2017,Newstracklive,25.5459832,0.0430666927963236
April2017,SMITHSONIANMAG.COM,25.433874313,0.0428776940422586
April2017,ALTNEWS.IN,25.0952529,0.042306829172672
April2017,AHREFS.COM,25.0657022,0.0422570111285258
April2017,Cox Media Group - Newspaper,25.009977821,0.0421630681906921
April2017,UNIVERSETODAY.COM,25.004509,0.0421538485794475
April2017,ANDHRABHOOMI.NET,24.839596983,0.0418758316748344
April2017,IFLSCIENCE.COM,24.505712843,0.0413129531363821
April2017,BESTMEDIAINFO.COM,24.407913582,0.0411480782636391
April2017,BEFOREITSNEWS.COM,24.3649979,0.0410757288661479
April2017,DHARITRI.COM,24.3572899,0.0410627343352475
April2017,UPWORTHY.COM,24.319089303,0.0409983338632533
April2017,SPH Magazines,24.220131195,0.0408315053484306
April2017,JAPANTIMES.CO.JP,24.156121,0.0407235937686603
April2017,SATYAVIJAYI.COM,24.1379177,0.0406929057374798
April2017,INFOELECTIONS.COM,24.0463496,0.0405385356667814
April2017,CNKI.COM.CN,24.0203845,0.0404947624059767
April2017,REVIEWSOK.COM,23.966593,0.0404040780119796
April2017,NATIONALINTEREST.ORG,23.7152259,0.0399803108157809
April2017,SAAMANA.COM,23.7138917,0.0399780615548666
April2017,BH Media Group,23.608200376,0.0397998818486361
April2017,NZHERALD.CO.NZ,23.604921174,0.0397943536063271
April2017,UTTARPRADESH.ORG,23.4852799,0.0395926563785172
April2017,KANNADAPRABHA.IN,23.4009829,0.0394505442909053
April2017,KONYASONHABER.COM,23.3933294,0.0394376416388235
April2017,NAYAINDIA.COM,23.343274312,0.0393532562745605
April2017,ECMWEB.COM,23.0262149,0.0388187417018434
April2017,LESCHIPSCESTBON.COM,22.9961685,0.03876808798191
April2017,MANITHAN.COM,22.7436077,0.0383423083867056
April2017,WORLDWEATHERONLINE.COM,22.6988299,0.0382668197378015
April2017,Cox Media Group - Television,22.568507976,0.0380471165374356
April2017,DESIBLITZ.COM,22.475733127,0.0378907120690764
April2017,Hearst Television,22.400632471,0.0377641036369236
April2017,ANCHORFREE.US,22.274769177,0.0375519170174228
April2017,NEWSONAIR.COM,22.267798,0.037540164659491
April2017,Ahmedabad Mirror,22.223299094,0.0374651461840042
April2017,RASHTRADEEPIKA.COM,22.1863973,0.037402935298896
April2017,TEHELKA.COM,21.783955226,0.0367244783754109
April2017,ASSAMTRIBUNE.COM,21.7659614,0.0366941434859488
April2017,Observer Media,21.706435244,0.0365937913228033
April2017,EESANJE.COM,21.5418071,0.0363162529854542
April2017,THEMIFY.ME,21.4713205,0.0361974231590705
April2017,FACTSLIDES.COM,21.393572,0.0360663508594193
April2017,BREITBART.COM,21.329957751,0.0359591067851669
April2017,Sightline Media Group,21.2764879,0.0358689646430988
April2017,HELLOAP.COM,21.1959798,0.0357332400721097
April2017,CARAVANMAGAZINE.IN,21.0653819,0.0355130716176364
April2017,THEDAILYSTAR.NET,20.9608381,0.0353368264646074
April2017,TIMESALERT.COM,20.9153175,0.03526008556641
April2017,Sky News,20.881056508,0.0352023266770453
April2017,TAMILMURASU.ORG,20.849742,0.0351495351173881
April2017,Amnesty International,20.8287726,0.0351141838568454
April2017,THECITIZEN.IN,20.5852404,0.0347036251258973
April2017,FOREIGNAFFAIRS.COM,20.5579256,0.0346575764735051
April2017,INDIABLOOMS.COM,20.4709239,0.0345109046677138
April2017,INDIAPOST.COM,20.2898818,0.0342056948645577
April2017,NAGPURTODAY.IN,20.0761407,0.0338453594560678
April2017,THENEWSISM.COM,20.0109964,0.0337355359455156
April2017,EPAPER-HUB.COM,19.7596568,0.0333118151101887
April2017,JANAMTV.COM,19.4523812,0.03279379457579
April2017,MILLENNIUMPOST.IN,19.4004711,0.0327062819397632
April2017,SUNDAY-GUARDIAN.COM,19.3714348,0.032657331096797
April2017,NEWSNOW.IN,19.3524629,0.0326253473213961
April2017,DESHBANDHU.CO.IN,19.1001589,0.0322000006524418
April2017,SAKAALTIMES.COM,19.0245458,0.0320725283166314
April2017,COED.COM,19.009314095,0.0320468499485347
April2017,MUBI.COM,18.9985994,0.0320287865812195
April2017,LEGACY.COM*,18.840707267,0.0317626041472286
April2017,INDIAEXPRESS.COM,18.7631339,0.031631827095525
April2017,WeatherBug Property,18.6762335,0.0314853260663269
April2017,SADDAHAQ.COM,18.6490293,0.0314394638689318
April2017,PRAJASAKTI.COM,18.518125,0.0312187788700542
April2017,CHENNAIONLINE.COM,18.4458605,0.031096951771163
April2017,NARADANEWS.COM,18.4429262,0.0310920049818505
April2017,Newsmax.com Sites,18.426505403,0.0310643219831444
April2017,NAVHINDTIMES.IN,18.2586297,0.0307813087488342
April2017,NINE.COM.AU,18.090608194,0.0304980497125534
